Text Label
ሉኬሚያ B-PER
ከም O
ዘለዎ O
ኣረጋጊጾም O
። O

ኣብቲ O
ግዜ B-DATE
ዝስዕብ O
ካልኣይ O
ገጽ O
ሕክምና O
ኬሞቴራፒ O
ንኽግበረሉ O
ድሕሪ B-DATE
ክልተ I-DATE
ሳምንቲ I-DATE
ክምለስ O
ተነጊርዎ O
ካብቲ O
ሆስፒታልኳ O
እንተወጽአ O
ንሽዱሽተ B-DATE
ኣዋርሕ I-DATE
ኣይተመለሰን O
። O

ልዕሊ O
እቲ O
ዝግባእ B-DATE
ግዜ I-DATE
ጠፊኡ O
ናብቲ O
ሆስፒታል O
ክምለስ O
እንከሎ O
ግን O
እቶም O
ምልክታት O
ካብቲ O
ቅድሚኡ B-DATE
ዝነበረ O
ዝገደዱ O
ኮይኖም O
ጸኒሖም O
። O

ንመርመራ O
ደምን O
መድሃኒታትን O
ዝኸውን O
ወጻኢታት O
ክንክእሎ O
ስለ O
ዘይከኣልና O
ኢና O
ጠፊእና O
ይብሉ O
ወለዱ O
። O

ብሰንኪዚ O
እቶም O
ዝርኣይዎ O
ዝነበሩ O
ምልክታትውን O
ብወዓል O
ሕደር O
ምምሕያሽ O
ከርእዩ O
ይኾኑዮም O
ብዝብል O
ተስፋ O
ኣብ O
ገዛ O
ሒዞምዎዮም O
ጸኒሖም O
። O

ይዅንምበር O
እቲ O
ሕማም O
ስለ O
ዝበርትዖ O
ኣብቲ O
ሆስፒታል O
ደቂሱ O
ሕክምናዊ O
ናብዮት O
ይግበረሉ O
ኣሎ O
። O

ሓካይም O
እቲ O
ሆስፒታል O
ግን O
ብሰንኪ O
እቲ O
ሆስፒታል O
ኣጋጢሙዎ O
ዘሎ O
ሕጽረት O
ቀረባት O
ኣፋውስን O
ተዛመድቲ O
ጉዳያትን O
ህጻናትን O
ኣባጽሕን O
ሕሙማት O
መንሽሮ O
ዝሕከምሉ O
ዓቕሚ O
እናተጸንቀቐ O
ብምምጽኡ O
ብቀቢጸ O
ተስፋ O
ተዋሒጥና O
ንርከብ O
ይብሉ O
። O

ኣብ O
ትግራይ B-LOC
መብዛሕትኦም O
ሕሙማት O
መንሽሮ O
ቈልዑ O
ዘለዎም O
ስድራቤታት O
ካብቲ O
ክልል B-LOC
ወጺኦም O
ደቆም O
ንኸሐክሙ O
ንመጓዓዝያን O
ካልእን O
ወጻኢታት O
ልዕሊ O
ዓቕሞም O
እዩ O
። O

ሕክምና O
መንሽሮ O
ዝሓቶም O
ወጻኢታት O
ኣዝዩ O
ብዙሕን O
ነዊሕ B-DATE
ግዜ I-DATE
ዝወስድን O
ብምዃኑን O
ካልእ O
ጾር O
እዩ O
። O

ከም O
ውጽኢቱ O
ድማ O
መንሽሮ O
ዘለዎም O
ህጻናት O
ከም O
ኬሞቴራፒ O
ዝበሉ O
ግቡእ O
ሕክምና O
እንከይረኸቡ O
ኣብ O
ገዛኦም O
ይሞቱ O
ምንባሮም O
ሓካይም O
ይገልጹ O
። O

ኣብ O
ዝሓለፉ B-DATE
ሰለስተ I-DATE
ዓመታት I-DATE
ካብ O
ዝተፈላለዩ O
ከባቢታት B-LOC
ትግራይ I-LOC
ገለ O
ክፋላት O
ኣምሓራ B-LOC
ዓፋር I-LOC
ከምኡውን O
ኤርትራ B-LOC
ዝመጽኡ O
ሕሙማት O
መንሽሮ O
ኣብ O
ሆስፒታል O
ዓይደር I-ORG
ክግልገሉ O
ዝጸንሑ O
ኮይኖም O
ቍጽሪ O
ሓደስቲ O
ህጻናት O
ተሓከምቲ O
ካብ O
72 O
ናብ O
110 O
ክብ O
ኢሉ O
ከም O
ዝነበረ O
መረዳእታ O
እቲ O
ሆስፒታል O
የመልክት O
። O

ብሰንኪ O
እቲ O
ኲናትን O
ድሕሪኡ B-DATE
ዝስዓበ O
ዕጽዋን O
ግን O
እዚ O
ቝጽሪ O
ብፍርቂ O
ከም O
ዝነከየ O
ሓካይም O
ይገልጹ O
። O

ብሰንኪ O
እቲ O
ኣብ O
ትግራይ B-LOC
ዝቐጸለ O
ዕጽዋን O
ልዕሊ O
17 B-DATE
ኣዋርሕ I-DATE
ዘቝጸረ O
ኲናትን O
ሕሙማት O
መንሽሮ O
ካብቶም O
ብኸቢዱ O
ዝተሃሰዩ O
ተሓከምቲዮም O
። O

ካብ O
ምጅማር O
እቲ O
ኲናት O
ኣትሒዙ O
1643 O
ኣባጽሕን O
126 O
ህጻናትን O
ተሓከምቲ O
መንሽሮ O
ናብቲ O
ሆስፒታል O
ከም O
ዝመጽኡ O
ዝጠቅስ O
ጸብጻብ B-ORG
ሆስፒታል I-ORG
ዓይደር I-ORG
መብዛሕትኦም O
ሕሙማት O
ግን O
ብሰንኪ O
ጸገማት O
መጓዓዝያ O
ገንዘብን O
ምቁራጽ O
ኣገልግሎት O
ቴሌፎንን O
ስሩዕ O
ሕክምና O
ንምርካብ O
ኣይመጽኡናን O
ይብል O
። O

70 O
ሚእታዊት O
ደቂ O
ኣንስትዮየን O
ካብዚአን O
እተን O
30 O
ሚእታዊት O
መንሽቶ O
ጡብ O
ኣለወን O
። O

መንሽሮ O
ጫፍ O
ማህጸን O
ካብ O
ዘለወን O
126 O
ደቂ O
ኣንስትዮ O
እተን O
15 O
ጥራይ O
ናይ O
መጀመርታ B-DATE
ደረጃ O
መጥባሕቲ O
ክግበረለንዩ O
እተን O
ዝተረፋ O
111 O
ግን O
ናይ O
ኬሞቴራፒ O
ሕክምና O
ብዘይምህላው O
ንኽሞታ O
ናብ O
ገዛአን O
ተላኢኸን O
ኣለዋ O
ይብል O
እቲ O
ሆስፒታል O
። O

ቅድሚ B-DATE
ምጅማር I-DATE
እቲ O
ኲናት O
ዝነበረ O
ኣገልግሎት O
ኬሞቴራፒ O
ካብ O
60 B-DATE
ክሳብ O
70 O
ሚእታዊ O
ዝጸንሐ O
ኮይኑ O
ልዕሊ O
45 O
መድሃኒታት O
መንሽሮ O
ኣብ O
ፋርማሲ O
እቲ O
ሆስፒታል O
ከም O
ዝነበሩ O
ይግለጽ O
። O

ሕጂ B-DATE
ዘሎ O
ኣገልግሎት O
ኬሞቴራፒ O
ግን O
ትሕቲ O
10 O
ሚእታዊት O
ኮይኑ O
ሰለስተ O
ዓይነት O
መድሃኒታት O
ጥራይ O
ከም O
ዘለው O
ኣብ O
ወርሒ B-DATE
መጋቢት I-DATE
ዝወጽአ O
ጸብጻብ O
ክፍሊ O
ሕክምና I-ORG
መንሽሮ O
እቲ O
ሆስፒታል O
የመልክት O
። O

ንኣብነት O
ኬሞቴራፒ O
ዝወስድ O
ተሓካሚ O
ናይ O
ተምላስ O
ሽግር O
ክህልዎ O
ስለ O
ዝኽእል O
ነዚ O
ዝወሃብ O
መድሃኒት O
ነይሩ O
ንሱውን O
የለን O
። O

ኣብ O
ደገ O
ብኽባር O
ዋጋ O
ይርከብዩ O
ግን O
ኣገልግሎት O
ባንኪ B-ORG
ስለዘየለ O
ተሓከምቲ O
ገንዘብ O
የብሎምን O
። O

መብዛሕትኦም O
የለን O
ኢልና O
ንመልሶም O
። O

ናይ O
ምጽንናዕ O
ስራሕ O
እምበር O
ናይ O
ሕክምና O
ስራሕ O
ኣይኮንናን O
ንሰርሕ O
ዘለና O
ኢሉ O
። O

ሕሙማት O
መንሽሮ O
መዓንጣ O
ምሉእ O
ንምሉእ O
ሕክምና O
ከም O
ዘቋረጹ O
ክገልጽ O
እንከሎ O
ብጠቕላላ O
ኵሎም O
ብመንሽሮ O
ዝተጠቕዑ O
ተሓከምትና O
ኣብ O
ከቢድ O
ሽግር O
እዮም O
ዝርከቡ O
ብምባል O
ዝበዝሑ O
ሰባት O
ብመንሽሮ O
ጡብን O
መዓንጣን O
ዝሓመሙ O
ከም O
ዝኾኑ O
ገሊጹ O
። O

እዞም O
ተሓከምቲ O
ዝወስድዎም O
ዝተፈላለዩ O
መድሃኒት O
ነይሮም O
ብሰንኪ O
እቲ O
ኣጋጢሙና O
ዘሎ O
ጸገም O
ግን O
ኣርባዕተ O
ዝወስዱ O
ዝነበሩ O
ሓንቲ O
ይወስዱ O
ኣለው O
። O

መዓልቱ B-DATE
ዝሓለፎ O
መድሃኒት O
ክንህቦም O
ጸኒሕና O
ሕዚ B-DATE
ግን O
ንሱውን O
ኣቋሪጽናዮ O
። O

ዝተጓደለ O
ሕክምና O
ኢና O
ንህብ O
ዘለና O
ኢሉ O
። O

እንተኾነ O
ብሰንኪ O
ሕጽረት O
ነዳዲ O
እቶም O
እታወታት O
ናብቲ O
ዝድለ O
ከብጽሖም O
ከም O
ዘይከኣለ O
ገሊጹ O
። O

ብዝሒ O
ናብቲ O
ክልል O
ዝኣተው O
ኣፋውስ O
ግዜ O
ንዘይህቡ O
ወይ O
ብረኽሲ O
ዝመጽኡ O
ሕማማት O
መከላኸሊ O
ዝኾኑ O
እምበር O
ንከም O
ሕማም O
መንሽሮ O
ዝበሉ O
ሕዱር O
ሕማማት O
ኣብ O
ግምት O
ዘእተው O
ኣይኮኑን O
ዝብል O
ዶክተር O
ክብሮም O
ዝበዝሑ O
ዝኣተው O
ኣፋውስ O
ንዅሉ O
ሕብረተሰብ O
ይዅን O
ነዚ O
ሆስፒታል O
ግምት O
ዘእተው O
ኣይኮኑን O
ኢሉ O
። O

ብሰንኪዚ O
ኣብ O
ቀረባ B-DATE
ግዜያት I-DATE
ብዙሓት O
ተሓከምቲ O
መንሽሮ O
ስኢንና O
ኢና O
ዝብል O
እቲ O
ክኢላ O
ንኽንስእኖም O
ኣብ O
ጫፍ O
ዘለውውን O
ብዙሓትዮም O
ክብል O
ስግኣቱ O
ይገልጽ O
። O

ህጹጽ O
ናይ O
ጨረር O
ሕክምና O
ዘድልዮም O
ኣለው O
። O

ኣስታት O
500 O
ቀጻሊ O
ኬሞቴራፒ O
ክረኽቡ O
ዝግባኦም O
ኣስታት O
300 O
ህጹጽ O
ሕክምና O
ጨረር O
ዘድልዮም O
ኣለው O
። O

ስለዚ O
እዚኦም O
ንስእኖም O
ኣለና O
ማለት O
እዩ O
። O

ቴሌፎንውን O
ስለ O
ዘየለ O
መድሃኒት O
የለን O
ዝበልናዮም O
ናብ O
ገዛኦም O
ምስ O
ከዱ O
ዝገጥሞም O
ኣይንፈልጥን O
ዘለና O
ይብል O
። O

ብፍላይ O
እቶም O
ካብ O
መቐለ B-LOC
ወጻኢ O
ዝሕከሙ O
ሰባት O
ብሰንኪ O
ሕጽረት O
ገንዘብን O
መጓዓዝያን O
ዳርጋ O
ናብ O
ሕክምና O
ምምጻእ O
ጠጠው O
ከም O
ዘበሉ O
ሓቢሩ O
። O

መንሽሮ O
ከቢድ O
ሕማምዩ O
። O

እቲ O
ሕማም O
ሒዝዎም O
ዝመጽኡ O
ጐናዊ O
ሳዕቤናት O
ብዙሓትዮም O
። O

ናብ O
ሞት O
ከብጽሕ O
ዝኽእልን O
ሕክምናኡ O
ከቢድን O
እዩ O
። O

ቅድሚ B-DATE
ሕዚ I-DATE
ሕክምና O
እናሃብና O
ተስፋ O
ኣለካ O
እዩ O
ንብል O
ነይርና O
ሕዚ B-DATE
ግን O
ንሓደ O
ሕሙም O
ሕማምካ O
እዚዩ O
ግን O
መድሃኒት O
የለን O
ምባል O
ከቢድ O
እዩ O
። O

ምንም O
ክገብር O
ኣይኽእልን O
ክትብሎ O
ከለኻ O
ንዓይ O
ናይ O
ሞት O
ፍርዲ O
ምንጋር O
እዩ O
። O

ክጨንቀና O
እንከሎ O
ካብ O
ሓኪም O
ዘይጽበ O
ነገር O
ንብል O
እስቲ O
ጸበል O
ትሓጺብኩም O
ፈትንዎ O
ኢልና O
ነፋንዎም O
ብምባል O
የረድእ O
። O

ሆስፒታል B-ORG
ዓይደር I-ORG
እቶም O
ሕጂ B-DATE
ዘለውዎ O
ጸገማት O
እንተ O
ዘይተፈቲሖም O
እቲ O
ሆስፒታል O
ንህጻናትን O
ኣባጽሕን O
ሕሙማት O
መንሽሮ O
ሕክምና O
ክህበሉ O
ኣብ O
ዘይክእል O
ደረጃ O
በጺሑ O
ኣብ O
ኣፍ O
ዕንወት O
ከም O
ዝርከብ O
ብምግላጽ O
ሚኒስትሪ B-ORG
ጥዕናን I-ORG
ካልኦት O
ዝምልከቶም O
ኣካላትን O
ትዅረት O
ክገብርሉ O
ሓካይም O
ይምሕጸኑ O
። O

ኣብዚ B-DATE
ሰዓት B-DATE
ከም O
ናይ O
ባህሊ O
ሓኪም O
ጸበል O
ፈትን O
ክንብል O
ጀሚርና O
ኢና O
ዝብል O
ዶክተር O
ክብሮም B-PER
እቲ O
ሆስፒታል O
ብዘለውዎ O
ተደራረብቲ O
ጸገማት O
ኣብ O
ምዕጻው O
ደረጃ O
በጺሑ O
። O

ብምህላው O
ሕሙም O
ዘይሕከመሉ O
ዓዲ O
ከይኸውን O
እየ O
ዝሰግእ O
ክብል O
ዶክተር O
ክብሮም B-PER
ሻቕሎቱ O
ገሊጹ O
። O

መዐገሲ O
ቃንዛውንዩ O
ተሳኢኑ O
ዘሎ O
። O

ሓደ O
ሰብ O
የምልሰኒ O
ኣሎ O
ኢሉናስ O
ነዚኣውን O
ኢና O
መድሃኒት O
ስኢንናላ O
። O

ይዅንምበር O
እቲ O
ምቁራጽ O
ተጻብኦ O
ጭቡጥ O
ውጽኢት O
ከርኢ O
ይዅን O
ኣብቲ O
ክልል B-LOC
ዝተቛረጹ O
መሰረታዊ O
ኣገልግሎታት O
ቴሌፎን B-ORG
ኢንተርነት I-ORG
ባንክን I-ORG
መጓዓዝን O
ናብ O
ንቡር O
ክምለሱ O
ኣይተራእየን O
። O

ብዙሕ O
ዝርአየና O
የለን O
ዝበርህ O
መብራህቲ O
የለን O
። O

ጽልምትምት O
ዝበለዩ O
ተኣምር O
ተፈጢሩ O
ነገራት O
ክቕየር O
እንተዘይክኢሉ O
ተስፋ O
ኣሎ O
ንምባል O
ይኸብደኒዩ O
ዝብል O
ዶክተር O
ክብሮም O
እቶም O
ጸገማት O
ብቕልጡፍ O
ንኽፍትሑ O
ጻዕሪ O
ክግበር O
ሓቲቱ O
። O

ኣብ O
መላእ O
ዓለም O
ብፅሒታት O
ዕዳጋ O
መኻዝን O
ዕዳጋ O
ምንካዮም O
ስዒቡ O
እዩ O
ኣብ O
ዕዳጋታት O
ክሪፕቶካረንሲ O
ኣብ O
ቅድሚት B-DATE
ዝስራዕ O
ቢትኮይን O
ነክዩ O
። O

ኣብዚ O
ቅነ O
ኣብ O
ማእኸላይ B-LOC
ኣፍሪቃ I-LOC
ሪፐብሊክ I-LOC
ወግዓዊ O
መተዓዳዳጊ O
ኮይኑሎ O
። O

ኤል B-PER
ሳልቫዶር I-PER
ቢትኮይን I-PER
ወግዓዊ O
መተዓዳዳጊ O
ብምግባር O
ኣብ O
ቅድሚት B-DATE
ትስራዕ O
ኮይና O
ንኣይኤምኤፍ B-ORG
ሓዊሱ O
ሰብሞያ O
ቁጠባ O
ንውሳነ O
እታ O
ሃገር O
ነቒፎም O
ነይሮም O
። O

ክሪፕቶካረንሲታት O
ንውልቀሰባት O
ዝህብዎ O
ነፃነት O
ከምዘሎ O
ኮይኑ O
ብዘይሕጋዊ O
መገዲ O
ዝተረኸበ O
ገንዘብ O
ሕጋዊ O
ገይርካ O
ምቕራብ O
ዘኽእሉ O
እዮም O
። O

ካብ O
ቢትኮይን O
ቀፂሉ O
ዓብይ O
ዕዳጋ O
ዝሕዝ O
ኢቲሪየምውን O
ኣብ O
ዝሓለፉ B-DATE
መዓልታት I-DATE
ብ O
10 O
ሚእታዊት O
ዋግኡ O
ነክዩሎ O
። O

ኣብ O
ዝሓለፈ B-DATE
ሰሙን I-DATE
ኣሜሪካ B-LOC
ዓባይ I-LOC
ብሪጣንያን I-LOC
ኣውስትራልያን I-LOC
ናይ O
ዝርከብአን O
ብዙሓት O
ባንክታት B-ORG
ዓለም I-ORG
ዝቕባባ O
ዋጋ O
ንምቁፅፃር O
ዋጋ O
ወለድ O
ክብ O
ኣቢለን O
ነይረን O
። O

እዚ O
ድማ O
ልቓሕ O
ዝወስዱ O
ሰባት O
ናይ O
ዝወስድዎ O
ልቓሕ O
መጠን O
ወለድ O
ክውስኽ O
ኣገዲዱ O
። O

ብዙሓት O
ኣውፈርቲ O
ዝቕባበ O
ዋጋን O
ምውሳኽ O
መጠን O
ወለድን O
ኣብ O
ቁጠባ O
ዓለም O
ኣሉታዊ O
ፅልዋ O
ከሕድር O
እዩ O
ዝብል O
ስግኣት O
ኣሕዲርሎም O
ኣሎ O
። O

ንነዊሕ B-DATE
መዋእል O
ኣብ O
ከበሳታት O
ኤርትራን I-LOC
ኢትዮጵያን I-LOC
ኣብ O
እዋን B-DATE
መውስቦ I-DATE
ብዝኽሰት O
ምምዝባል O
ክሮሞዞም O
ፍልይ O
ዝበለ O
ቅርጽን O
መልክዕን O
ሒዞም O
ዝውለዱ O
ዝሕታለ O
አእምሮ O
ዘለዎም O
ቖልዑ O
ብማሪታዊ O
እምነት O
ብሰንኪ O
። O

መርገም O
ስድራቤትን O
ተጻብኦ O
ኣጋንንትን O
እዮም O
ከምኡ O
ዝኾኑ O
ዝብል O
ድሑር O
ባህላዊ O
እምነት O
ስለ O
ዝነበረ O
ኣብ O
ልዕሊ O
እቶም O
ቖልዑን O
ወለዶምን O
ከቢድ O
ጸቕጥን O
ጸገምን O
የጋጥም O
ከም O
ዝነበረ O
ኪኢላ O
ስነአእምሮ O
ዮውሃንስ B-PER
ፈርዲናንድ I-PER
ይገልጽ O
። O

ማሪታዊ O
እምነታት O
ኣብ O
ኩሉ O
ዘይማዕበለን O
ብሳይንስ O
ዘይግዛእን O
ሕብረተሰብ O
ዓለም O
ዘሎን O
ዝነበረን O
እዩ O
። O

ቖልዑ O
ዝፍጠር O
ጥዕናዊ O
ጸገማት O
ኣብ O
ስርዓተ O
መውስቦ O
እቶም O
ተጻመድቲ O
ብዝኽሰት O
ረቂቕ O
ምምዝባል O
እምበር O
ብመርገምን O
ትዕድልትን O
ከም O
ዘይመጽእ O
የረድእ O
። O

ብፍላይ O
ቅድሚ B-DATE
40-50 I-DATE
ዓመታት I-DATE
ስንኩል O
ቖልዓ O
ዝወለዳ O
ስድራታት O
ዕድል O
መውስቦ O
ካልኦት O
ደቆም O
ከይበላሾ O
ብምፍራሕ O
ነቶም O
ናይ O
ጥዕና O
ጸገም O
ዘለዎም O
ደቀን O
ካብ O
ሕብረተሰብ O
ሓቢአን O
የዕብየኦም O
ከም O
ዝነበራ O
ኣቶ O
ዮውሃንስ B-PER
ይሕብር O
። O

ንኣብነት O
ኣብ O
ዝተፈለላየ O
ኣጋጣሚታት O
ኣብ O
ተሌቪዥን B-ORG
ኤርትራ I-ORG
ቀሪቦም O
ከምዚ O
ዝኣመሰለ O
ጸገም O
ኣጋጢሙና O
እሞ O
ርድኡና O
ዝብሉ O
ሰባት O
ምርኣይ O
እቲ O
ሕብረተሰብ O
ብዛዕባ O
ዝሕታለ O
አእምሮ O
ይኹን O
ካልእ O
። O

ተመሳሳሊ O
ስንክልና O
ቖልዑ O
ዘለዎ O
ኣረዳድኣ O
ይቕይር O
ከም O
ዘሎ O
ዘረድእ O
ስለ O
ዝኾነ O
ክሳብ O
ብምልኣት O
ዝነቅሕ O
ክሕገዝ O
ይግባእ O
ይብል O
ኣቶ O
ዮውሃንስ B-PER
። O

ንምዃኑ O
ዝሕታለ O
አእምሮ O
ዳውንስ O
ሲንድሮም O
እንታይ O
እዩ? O
ዝሕታለ O
አእምሮ O
ናይ O
ሓደ O
ሰብ O
ናይ O
ምምሃር O
ክእለትን O
ኣካላዊ O
ኩነታትን O
ዝጸሉ O
ናይ O
መፈጠር O
ጀነቲክ O
ጸገም O
እዩ O
። O

እዚ O
ጸገምዚ O
ድሒሩ O
ዝመጽእ O
ወይ O
ዝመሓለለፍ O
ሕማም O
ኣይኮነን O
ክብ O
ኢሉ O
ከም O
ዝተገልጸ O
ዝሕታለ O
አእምሮ O
ብሰንኪ O
ኣብ O
እዋን B-DATE
መውስቦ O
ኣብ O
ዘርእን O
እንቋቑሖን O
ክልተ O
ተጻመድቲ O
ዝፍጠር O
ምምዝባል O
ክሮሞዞም O
ዝኽሰት O
ተርእዮ O
እዩ O
። O

ናይቶም O
ጥዑያት O
ቖልዑ O
ክሮሞዞም O
21 O
ክኸውን O
እንከሎ O
ናይቶም O
ዝሕታለ O
አእምሮ O
ዘጋጥሞም O
ቖልዑ O
ክሮሞዞም O
ግን O
23 O
ይኸውን O
። O

እቲ O
ክሮሞዞም O
ኣብ O
እዋን B-DATE
ድቂ O
ዕሸልን O
ዕቤት O
ጥንስን O
ድሕሪ B-DATE
ልደትን I-DATE
ንዝኽሰት O
ምዕባለን O
ዕቤትን O
እቲ O
ህጻን O
ይውስኑ O
። O

እቶም O
ዝሕታለ O
አእምሮ O
ዘለዎም O
ቖልዑ O
ተመሳሳሊ O
መልክዕ O
እኳ O
እንተለዎም O
ነፍሲ O
ወከፍ O
ቖልዓ O
ግን O
እተፈላለየ O
ክእለትን O
ብልሒ O
አእምሮን O
ከምዘለዎ O
ሊቃውንቲ O
ይገልጹ O
። O

ዝሕታለ O
አእምሮ O
ዘለዎም O
ሰባት O
ከም O
ማንም O
ሰብ O
ዝተፈላለየ O
ስብእናን O
ክእለትን O
ኣለዎም O
። O

እታ O
ካብቶም O
ካልኦት O
ቖልዑ O
እትፈልዮም O
ንገለ O
ክፋል O
ሓበሬታ O
ንምስልሳል O
ኮነ O
ስራሕ O
ንምስራሕ O
ወይ O
ሓድሸ O
ክእለት O
ንምቕሳም O
ካብቶም O
ካልኦት O
ቖልዑ O
ፍልይ O
ዝበለ O
ግዜ O
ከም O
ዝወሰደሎም O
ኣቶ O
ዮውሃንስ B-PER
ንሰነዳት O
እቲ O
ዓውዲ O
ብምጥቃስ O
ይዛረብ O
። O

ዝኾነ O
ዝሕታለ O
አእምሮ O
ዘሎዎም O
ቖልዑ O
ዝወለዱ O
ስድራታት O
ንደቆም O
ግቡእ O
ፍቕሪ O
እናሃቡ O
ምስ O
ሕብረተሰብ O
ምስ O
ዝሕውሱዎም O
ብልሒ O
አእምሮም O
ክበራበር O
ይኽእል O
እዩ O
። O

ካልእ O
ዝተሓላለኸ O
ስንክልና O
ዘለዎ O
ሊቕ O
ካብቶም O
ዝሕታለ O
አእምሮ O
ኣለዎም O
ተባሂሎም O
ዝጥቀሱ O
ምዃኖም O
ምዝካር O
የድሊ O
ክብል O
ሞያዊ O
ምኽሩ O
